ko_number	name	description	metabolism
K13666	OGNT	UDP-GlcNAc:polypeptide alpha-N-acetylglucosaminyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13669	pimE	alpha-1,2-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13671	K13671	alpha-1,2-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13672	LPG1	galactofuranosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13673	SCG	phosphoglycan beta-1,3-galactosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13674	SCA	phosphoglycan alpha-1,2-arabinopyranosyltransferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K13675	B3GALTL	UDP-glucose:O-linked fucose beta-1,3-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13677	dgs, bgsA	1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase [EC:2.4.1.208]	CAZymes glycosyl transferase
K13678	cpoA	1,2-diacylglycerol-3-alpha-glucose alpha-1,2-galactosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13679	WAXY	granule-bound starch synthase [EC:2.4.1.242]	CAZymes glycosyl transferase
K13681	FUT	xyloglucan fucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13682	BMT, WRY	beta-1,2-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13687	aftB	arabinofuranosyltransferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K13688	chvB, cgs, ndvB	cyclic beta-1,2-glucan synthetase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13689	cgtA	beta-1,4-N-acetylgalactosaminyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13690	CMT1	alpha-1,3-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13691	SGT1	pathogen-inducible salicylic acid glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K13692	IAGLU	UDP-glucose:(indol-3-yl)acetate beta-D-glucosyltransferase [EC:2.4.1.121]	CAZymes glycosyl transferase
K13693	gpgS	glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]	CAZymes glycosyl transferase
K13915	LYZ	lysozyme C [EC:3.2.1.17]	CAZymes glycoside hydrolase
K14073	PNLIP, PL	pancreatic triacylglycerol lipase [EC:3.1.1.3]	CAZymes carbohydrate esterase
K14074	PNLIPRP1, PLRP1	pancreatic lipase-related protein 1 [EC:3.1.1.3]	CAZymes carbohydrate esterase
K14075	PNLIPRP2, PLRP2	pancreatic lipase-related protein 2 [EC:3.1.1.3]	CAZymes carbohydrate esterase
K14076	PNLIPRP3, PLRP3	pancreatic lipase-related protein 3 [EC:3.1.1.3]	CAZymes carbohydrate esterase
K14335	pimC	alpha-1,6-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K14337	mptA	alpha-1,6-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K14339	mptB	alpha-1,6-mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K14340	K14340	mannosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K14349	NCEH1, AADACL1	neutral cholesterol ester hydrolase 1 [EC:3.1.1.-]	CAZymes carbohydrate esterase
K14350	AADACL2	arylacetamide deacetylase-like 2 [EC:3.1.1.-]	CAZymes carbohydrate esterase
K14351	AADACL3_4	arylacetamide deacetylase-like 3/4 [EC:3.1.1.-]	CAZymes carbohydrate esterase
K14375	aveBI	dTDP-L-oleandrosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K14412	FUT13, FucTC	alpha-1,4-fucosyltransferase [EC:2.4.1.65]	CAZymes glycosyl transferase
K14413	GALT1	beta-1,3-galactosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K14434	GALT-1	alpha 1,6-fucoside beta 1,4-galactosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K14452	LIPF	gastric triacylglycerol lipase [EC:3.1.1.3]	CAZymes carbohydrate esterase
K14459	HEX	hexosaminidase [EC:3.2.1.52]	CAZymes glycoside hydrolase
K14464	FUT-1, FucTC	alpha-1,3-fucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K14504	TCH4	xyloglucan:xyloglucosyl transferase TCH4 [EC:2.4.1.207]	CAZymes glycoside hydrolase
K14596	crtX	zeaxanthin glucosyltransferase [EC:2.4.1.276]	CAZymes glycosyl transferase
K14659	nodB	chitooligosaccharide deacetylase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K14659	nodB	chitooligosaccharide deacetylase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K14663	NTA1	protein N-terminal amidase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K14663	NTA1	protein N-terminal amidase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K14664	ILR1	IAA-amino acid hydrolase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K14664	ILR1	IAA-amino acid hydrolase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K14665	amhX	amidohydrolase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K14665	amhX	amidohydrolase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K14666	nodC	N-acetylglucosaminyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K14756	KL	klotho [EC:3.2.1.31]	CAZymes glycoside hydrolase
K15463	RIT1	tRNA A64-2'-O-ribosylphosphate transferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K15524	mngB	2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate hydrolase [EC:3.2.1.-]	CAZymes carbohydrate esterase
K15524	mngB	2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate hydrolase [EC:3.2.1.-]	CAZymes glycoside hydrolase
K15531	rexA	oligosaccharide reducing-end xylanase [EC:3.2.1.156]	CAZymes glycoside hydrolase
K15532	yteR, yesR	unsaturated rhamnogalacturonyl hydrolase [EC:3.2.1.172]	CAZymes glycoside hydrolase
K15533	K15533	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [EC:2.4.1.211]	CAZymes glycoside hydrolase
K15534	K15534	beta-D-galactosyl-(1->4)-L-rhamnose phosphorylase [EC:2.4.1.247]	CAZymes glycoside hydrolase
K15538	MANEA	glycoprotein endo-alpha-1,2-mannosidase [EC:3.2.1.130]	CAZymes glycoside hydrolase
K15748	BG1	beta-D-glucopyranosyl abscisate beta-glucosidase [EC:3.2.1.175]	CAZymes glycoside hydrolase
K15774	5GT	betanidin 5-O-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K15775	6GT	betanidin 6-O-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K15776	CDOPA5GT	cyclo-DOPA 5-O-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K15787	UGT78D1	flavonol-3-O-rhamnosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K15855	csxA	exo-1,4-beta-D-glucosaminidase [EC:3.2.1.165]	CAZymes glycoside hydrolase
K15889	PCME	prenylcysteine alpha-carboxyl methylesterase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K15914	pglA	N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase [EC:2.4.1.290]	CAZymes glycosyl transferase
K15920	XYL4	xylan 1,4-beta-xylosidase [EC:3.2.1.37]	CAZymes glycoside hydrolase
K15921	xynD	arabinoxylan arabinofuranohydrolase [EC:3.2.1.55]	CAZymes carbohydrate esterase
K15921	xynD	arabinoxylan arabinofuranohydrolase [EC:3.2.1.55]	CAZymes glycoside hydrolase
K15922	yihQ	sulfoquinovosidase [EC:3.2.1.199]	CAZymes glycoside hydrolase
K15923	AXY8, FUC95A, afcA	alpha-L-fucosidase 2 [EC:3.2.1.51]	CAZymes glycoside hydrolase
K15924	xynC	glucuronoarabinoxylan endo-1,4-beta-xylanase [EC:3.2.1.136]	CAZymes glycoside hydrolase
K15925	XYL1	alpha-D-xyloside xylohydrolase [EC:3.2.1.177]	CAZymes glycoside hydrolase
K15929	jadS	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K15936	urdGT2	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K15939	urdGT1b	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K15951	dnrS	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K15960	mtmGIV	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K15961	mtmGIII	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K15964	mtmGI	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K15965	mtmGII	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K16039	asm25	N-glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K16147	glgE	starch synthase (maltosyl-transferring) [EC:2.4.99.16]	CAZymes glycoside hydrolase
K16148	glgM	alpha-maltose-1-phosphate synthase [EC:2.4.1.342]	CAZymes glycosyl transferase
K16149	K16149	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	CAZymes glycoside hydrolase
K16150	K16150	glycogen synthase [EC:2.4.1.11]	CAZymes glycosyl transferase
K16212	mgp	4-O-beta-D-mannosyl-D-glucose phosphorylase [EC:2.4.1.281]	CAZymes glycoside hydrolase
K16266	UGT85K	cyanohydrin UDP-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K16545	DDHD2	phospholipase DDHD2 [EC:3.1.1.-]	CAZymes carbohydrate esterase
K16559	exoK	endo-1,3-1,4-beta-glycanase ExoK [EC:3.2.1.-]	CAZymes carbohydrate esterase
K16559	exoK	endo-1,3-1,4-beta-glycanase ExoK [EC:3.2.1.-]	CAZymes glycoside hydrolase
K16648	aftD	arabinofuranan 3-O-arabinosyltransferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K16650	glft2	galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase [EC:2.4.1.288]	CAZymes glycosyl transferase
K16814	PNPLA5	patatin-like phospholipase domain-containing protein 5 [EC:3.1.1.-]	CAZymes carbohydrate esterase
K16816	PNPLA2, ATGL	patatin-like phospholipase domain-containing protein 2 [EC:3.1.1.3]	CAZymes carbohydrate esterase
K16870	wbbL	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]	CAZymes glycosyl transferase
K17066	MOX	alcohol oxidase [EC:1.1.3.13]	CAZymes auxiliary activities
K17108	GBA2	non-lysosomal glucosylceramidase [EC:3.2.1.45]	CAZymes glycoside hydrolase
K17251	pglB	undecaprenyl-diphosphooligosaccharide---protein glycotransferase [EC:2.4.99.19]	CAZymes glycosyl transferase
K17624	engCP, engBF, endoEF	endo-alpha-N-acetylgalactosaminidase [EC:3.2.1.97]	CAZymes glycoside hydrolase
K17900	ATG15, AUT5	lipase ATG15 [EC:3.1.1.3]	CAZymes carbohydrate esterase
K18100	rhlA	rhamnosyltransferase subunit A [EC:2.4.1.-]	CAZymes carbohydrate esterase
K18101	rhlB	rhamnosyltransferase subunit B [EC:2.4.1.-]	CAZymes carbohydrate esterase
K18134	EOGT	EGF domain-specific O-GlcNAc transferase [EC:2.4.1.255]	CAZymes glycosyl transferase
K18195	RGL4, rhiE	rhamnogalacturonan endolyase [EC:4.2.2.23]	CAZymes polysaccharide lyase
K18197	yesW	rhamnogalacturonan endolyase [EC:4.2.2.23]	CAZymes polysaccharide lyase
K18198	yesX	rhamnogalacturonan exolyase [EC:4.2.2.24]	CAZymes polysaccharide lyase
K18205	hypBA1	non-reducing end beta-L-arabinofuranosidase [EC:3.2.1.185]	CAZymes glycoside hydrolase
K18206	hypBA2	beta-L-arabinobiosidase [EC:3.2.1.187]	CAZymes glycoside hydrolase
K18207	POMGNT2, GTDC2	protein O-mannose beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.312]	CAZymes glycosyl transferase
K18368	CSE	caffeoylshikimate esterase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K18455	mca	mycothiol S-conjugate amidase [EC:3.5.1.115]	CAZymes carbohydrate esterase
K18572	cmmT, thnT	putative pantetheine hydrolase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K18572	cmmT, thnT	putative pantetheine hydrolase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K18576	XEG	xyloglucan-specific endo-beta-1,4-glucanase [EC:3.2.1.151]	CAZymes glycoside hydrolase
K18577	EBM	mannosylglycoprotein endo-beta-mannosidase [EC:3.2.1.152]	CAZymes glycoside hydrolase
K18579	6GAL	galactan endo-1,6-beta-galactosidase [EC:3.2.1.164]	CAZymes glycoside hydrolase
K18580	RHGA	rhamnogalacturonan hydrolase [EC:3.2.1.171]	CAZymes glycoside hydrolase
K18581	ugl	unsaturated chondroitin disaccharide hydrolase [EC:3.2.1.180]	CAZymes glycoside hydrolase
K18650	pehX	exo-poly-alpha-galacturonosidase [EC:3.2.1.82]	CAZymes glycoside hydrolase
K18651	XGCA	oligoxyloglucan reducing-end-specific cellobiohydrolase [EC:3.2.1.150]	CAZymes glycoside hydrolase
K18675	chbP	N,N'-diacetylchitobiose phosphorylase [EC:2.4.1.280]	CAZymes glycoside hydrolase
K18705	B3GNT9	beta-1,3-N-acetylglucosaminyltransferase 9 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K18775	lf2	levanbiose-producing levanase [EC:3.2.1.64]	CAZymes glycoside hydrolase
K18783	E2.4.1.279	nigerose phosphorylase [EC:2.4.1.279]	CAZymes glycoside hydrolase
K18786	E2.4.1.321	cellobionic acid phosphorylase [EC:2.4.1.321]	CAZymes glycoside hydrolase
K18819	GOLS	inositol 3-alpha-galactosyltransferase [EC:2.4.1.123]	CAZymes glycosyl transferase
K18820	agd31B	oligosaccharide 4-alpha-D-glucosyltransferase [EC:2.4.1.161]	CAZymes glycoside hydrolase
K19031	CEMIP, KIAA1199	cell migration-inducing and hyaluronan-binding protein [EC:3.2.1.35]	CAZymes glycoside hydrolase
K19049	cslA	chondroitin AC lyase [EC:4.2.2.5]	CAZymes polysaccharide lyase
K19050	hepA	heparin lyase [EC:4.2.2.7]	CAZymes polysaccharide lyase
K19052	hepC	heparan-sulfate lyase [EC:4.2.2.8]	CAZymes polysaccharide lyase
K19053	cslB	chondroitin B lyase [EC:4.2.2.19]	CAZymes polysaccharide lyase
K19055	prdX, proX	Ala-tRNA(Pro) deacylase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K19069	CDH	cellobiose dehydrogenase (acceptor) [EC:1.1.99.18]	CAZymes auxiliary activities
K19247	HN	Respirovirus hemagglutinin-neuraminidase [EC:3.2.1.18]	CAZymes glycoside hydrolase
K19311	lipV	lipase [EC:3.1.1.-]	CAZymes carbohydrate esterase
K19354	waaH	heptose III glucuronosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K19355	MAN	mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]	CAZymes glycoside hydrolase
K19356	E1.14.99.54	lytic cellulose monooxygenase (C1-hydroxylating) [EC:1.14.99.54]	CAZymes auxiliary activities
K19357	CELB	cellulase [EC:3.2.1.4]	CAZymes glycoside hydrolase
K19392	EC:3.2.1.18	Influenza A/B virus neuraminidase [EC:3.2.1.18]	CAZymes glycoside hydrolase
K19404	LIPH_I	phosphatidic acid-selective phospholipase A1 [EC:3.1.1.-]	CAZymes carbohydrate esterase
K19406	LIPM	lipase-like abhydrolase domain-containing protein 3 [EC:3.1.1.-]	CAZymes carbohydrate esterase
K19668	CBH2, cbhA	cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]	CAZymes glycoside hydrolase
K19813	gdh	glucose dehydrogenase [EC:1.1.5.9]	CAZymes auxiliary activities
K19891	GN1_2_3	glucan endo-1,3-beta-glucosidase 1/2/3 [EC:3.2.1.39]	CAZymes glycoside hydrolase
K19892	GN4	glucan endo-1,3-beta-glucosidase 4 [EC:3.2.1.39]	CAZymes glycoside hydrolase
K19893	GN5_6	glucan endo-1,3-beta-glucosidase 5/6 [EC:3.2.1.39]	CAZymes glycoside hydrolase
K20153	VAOA	vanillyl-alcohol oxidase [EC:1.1.3.38]	CAZymes auxiliary activities
K20154	PDH	pyranose dehydrogenase [EC:1.1.99.29]	CAZymes auxiliary activities
K20205	mpn	manganese peroxidase [EC:1.11.1.13]	CAZymes auxiliary activities
K20444	rfbC	O-antigen biosynthesis protein [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20525	alg17C	oligo-alginate lyase [EC:4.2.2.26]	CAZymes polysaccharide lyase
K20542	bcsZ	endoglucanase [EC:3.2.1.4]	CAZymes glycoside hydrolase
K20547	CHIB	basic endochitinase B [EC:3.2.1.14]	CAZymes glycoside hydrolase
K20578	tobM2	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20580	livL, parL	phosphoribosyltransferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K20582	livF, parF	N-acetylglucosaminyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20583	livD, parD	deacetylase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K20583	livD, parD	deacetylase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K20589	genM2, gtmE, gntD	paromamine D-xylosyltransferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K20610	E4.2.2.25	gellan lyase [EC:4.2.2.25]	CAZymes polysaccharide lyase
K20730	FDL	beta-hexosaminidase Fdl [EC:3.2.1.52]	CAZymes glycoside hydrolase
K20736	A3GALT2	alpha-1,3-galactosyltransferase 2 [EC:2.4.1.87]	CAZymes glycosyl transferase
K20781	SGT1	peptidyl serine alpha-galactosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20783	RRA	arabinosyltransferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K20784	XEG113	arabinosyltransferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K20811	inuJ	inulosucrase [EC:2.4.1.9]	CAZymes glycoside hydrolase
K20812	glgA	glycogen synthase [EC:2.4.1.242]	CAZymes glycosyl transferase
K20829	celS	cellulose 1,4-beta-cellobiosidase [EC:3.2.1.176]	CAZymes glycoside hydrolase
K20830	por	beta-porphyranase [EC:3.2.1.178]	CAZymes glycoside hydrolase
K20831	ugl	gellan tetrasaccharide unsaturated glucuronyl hydrolase [EC:3.2.1.179]	CAZymes glycoside hydrolase
K20832	EN3GAL	galactan endo-beta-1,3-galactanase [EC:3.2.1.181]	CAZymes glycoside hydrolase
K20833	SGUS	baicalin-beta-D-glucuronidase [EC:3.2.1.167]	CAZymes glycoside hydrolase
K20835	P60	avenacosidase [EC:3.2.1.188]	CAZymes glycoside hydrolase
K20843	GALT2S	hydroxyproline O-galactosyltransferase 2/3/4/5/6 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20844	abf1	non-reducing end alpha-L-arabinofuranosidase [EC:3.2.1.55]	CAZymes carbohydrate esterase
K20844	abf1	non-reducing end alpha-L-arabinofuranosidase [EC:3.2.1.55]	CAZymes glycoside hydrolase
K20845	txyA	endo-1,3-beta-xylanase [EC:3.2.1.32]	CAZymes glycoside hydrolase
K20846	cgkA	kappa-carrageenase [EC:3.2.1.83]	CAZymes glycoside hydrolase
K20847	g2d	glucan 1,6-alpha-isomaltosidase [EC:3.2.1.94]	CAZymes glycoside hydrolase
K20848	1-FEH	fructan beta-(2,1)-fructosidase [EC:3.2.1.153]	CAZymes glycoside hydrolase
K20849	6-FEH	fructan beta-(2,6)-fructosidase [EC:3.2.1.154]	CAZymes glycoside hydrolase
K20850	cgiA	iota-carrageenase [EC:3.2.1.157]	CAZymes glycoside hydrolase
K20851	agaA	alpha-agarase [EC:3.2.1.158]	CAZymes glycoside hydrolase
K20852	E3.2.1.161	beta-apiosyl-beta-glucosidase [EC:3.2.1.161]	CAZymes glycoside hydrolase
K20853	cglA	lambda-carrageenase [EC:3.2.1.162]	CAZymes glycoside hydrolase
K20854	HPGT, B3GALT9_10_11	hydroxyproline O-galactosyltransferase HPGT [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20855	B3GALT1S	beta-1,3-galactosyltransferase 1/2/3/4/5/7/8 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20856	GALT31A, B3GALT6	beta-1,6-galactosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20867	GAUT12S	galacturonosyltransferase 12/13/14/15 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20869	IRX9	putative beta-1,4-xylosyltransferase IRX9 [EC:2.4.2.-]	CAZymes glycosyl transferase
K20870	IRX10	putative beta-1,4-xylosyltransferase IRX10 [EC:2.4.2.-]	CAZymes glycosyl transferase
K20871	IRX14	putative beta-1,4-xylosyltransferase IRX14 [EC:2.4.2.-]	CAZymes glycosyl transferase
K20886	GLT6D1	glycosyltransferase 6 domain-containing protein 1 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20887	CSLC4	xyloglucan glycosyltransferase 4 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20888	MUR3	xyloglucan galactosyltransferase MUR3 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20889	IRX7, FRA8, F8H	probable glucuronoxylan glucuronosyltransferase IRX7 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20890	GUX	xylan alpha-glucuronosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20891	GLCAT14	beta-glucuronosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20892	RAY1	beta-arabinofuranosyltransferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K20893	PARVUS, GLZ1, GATL1	probable galacturonosyltransferase-like 1 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20895	ylmB	formylaminopyrimidine deformylase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K20895	ylmB	formylaminopyrimidine deformylase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K20923	CSLF	mixed-linked glucan synthase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20924	CSLD	cellulose synthase-like protein [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20926	cap3B	cellobiuronic acid synthase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K20929	GLX	glyoxal/methylglyoxal oxidase [EC:1.2.3.15]	CAZymes auxiliary activities
K21016	FAEA	feruloyl esterase [EC:3.1.1.73]	CAZymes carbohydrate esterase
K21016	FAEA	feruloyl esterase [EC:3.1.1.73]	CAZymes glycoside hydrolase
K21032	B4GAT1	beta-1,4-glucuronyltransferase 1 [EC:2.4.1.-]	CAZymes carbohydrate esterase
K21065	E3.2.1.197	beta-1,2-mannosidase [EC:3.2.1.197]	CAZymes glycoside hydrolase
K21187	sgcA6	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K21194	mdpA6	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K21216	ncsC6	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K21229	kedS6	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K21230	kedS10	glycosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K21259	calG3	calicheamicinone 4-hydroxyamino-4,6-dideoxy-alpha-D-glucosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K21260	calG2	calicheamicin 4-deoxy-4-thio-alpha-D-digitoxosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K21262	calG4	calicheamicin aminopentosyltransferase [EC:2.4.2.-]	CAZymes glycosyl transferase
K21263	calG1	calicheamicin 3'-O-methyl-rhamnosyltransferase [EC:2.4.1.-]	CAZymes carbohydrate esterase
K21298	E2.4.1.333	1,2-beta-oligoglucan phosphorylase [EC:2.4.1.333]	CAZymes glycoside hydrolase
K21350	E2.4.1.329	sucrose 6(F)-phosphate phosphorylase [EC:2.4.1.329]	CAZymes glycoside hydrolase
K21351	SST	sucrose:sucrose fructosyltransferase [EC:2.4.1.99]	CAZymes glycoside hydrolase
K21352	FT1	6(G)-fructosyltransferase [EC:2.4.1.243]	CAZymes glycoside hydrolase
K21353	E2.4.1.248	cycloisomaltooligosaccharide glucanotransferase [EC:2.4.1.248]	CAZymes glycoside hydrolase
K21355	ggp	1,2-alpha-glucosylglycerol phosphorylase [EC:2.4.1.332]	CAZymes glycoside hydrolase
K21363	wfaP, wfgD	UDP-Glc:alpha-D-GlcNAc-glucosaminyl-diphosphoundecaprenol beta-1,3-glucosyltransferase [EC:2.4.1.305]	CAZymes glycosyl transferase
K21369	mggA	mannosylglucosyl-3-phosphoglycerate synthase [EC:2.4.1.270]	CAZymes glycosyl transferase
K21370	UBGAT	baicalein 7-O-glucuronosyltransferase [EC:2.4.1.253]	CAZymes glycosyl transferase
K21372	E2.4.1.286	chalcone 4'-O-glucosyltransferase [EC:2.4.1.286]	CAZymes glycosyl transferase
K21430	yliI	aldose sugar dehydrogenase [EC:1.1.5.-]	CAZymes auxiliary activities
K21478	icaB	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K21478	icaB	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K21509	gp36	peptidoglycan hydrolase [EC:3.2.1.17]	CAZymes glycoside hydrolase
K21521	agt	DNA alpha-glucosyltransferase [EC:2.4.1.26]	CAZymes glycosyl transferase
K21574	susB	glucan 1,4-alpha-glucosidase [EC:3.2.1.3]	CAZymes glycoside hydrolase
K21575	susA	neopullulanase [EC:3.2.1.135]	CAZymes glycoside hydrolase
K21613	scmP	N-acetylcysteine deacetylase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K21613	scmP	N-acetylcysteine deacetylase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K21713	lpmo	lytic chitin monoxygenase [EC:1.14.99.53]	CAZymes auxiliary activities
K21801	iaaH	indoleacetamide hydrolase [EC:3.5.1.-]	CAZymes carbohydrate esterase
K21801	iaaH	indoleacetamide hydrolase [EC:3.5.1.-]	CAZymes glycoside hydrolase
K22032	K22032	lytic cellulose monooxygenase (C4-dehydrogenating) [EC:1.14.99.56]	CAZymes auxiliary activities
K22033	K22033	lytic cellulose monooxygenase (C4-dehydrogenating) [EC:1.14.99.56]	CAZymes auxiliary activities
K22078	PGGHG, ATHL1	protein-glucosylgalactosylhydroxylysine glucosidase [EC:3.2.1.107]	CAZymes glycoside hydrolase
K22092	GLU1	beta-glucosidase [EC:3.2.1.-]	CAZymes carbohydrate esterase
K22092	GLU1	beta-glucosidase [EC:3.2.1.-]	CAZymes glycoside hydrolase
K22135	bshB2	N-acetylglucosamine malate deacetylase 2 [EC:3.5.1.-]	CAZymes carbohydrate esterase
K22135	bshB2	N-acetylglucosamine malate deacetylase 2 [EC:3.5.1.-]	CAZymes glycoside hydrolase
K22144	TEME2	cell surface hyaluronidase [EC:3.2.1.35]	CAZymes glycoside hydrolase
K22245	INUA	inulinase [EC:3.2.1.7]	CAZymes glycoside hydrolase
K22248	TP	alpha,alpha-trehalose phosphorylase (configuration-retaining) [EC:2.4.1.231]	CAZymes glycosyl transferase
K22268	xylA	xylan 1,4-beta-xylosidase [EC:3.2.1.37]	CAZymes glycoside hydrolase
K22276	NEG1	glucan endo-1,6-beta-glucosidase [EC:3.2.1.75]	CAZymes glycoside hydrolase
K22277	EXGB	glucan endo-1,6-beta-glucosidase [EC:3.2.1.75]	CAZymes glycoside hydrolase
